date	sec	swe	alb
2004-04-10	440.07	0.01	0.87
2004-04-11	-1019.87	0.01	0.87
2004-04-12	-625.96	0.01	0.86
2004-04-13	498.42	0.01	0.84
2004-04-14	-531.56	0.01	0.82
2004-04-15	253.53	0.00	0.79
2004-04-16	0.00	0.00	0.88
2004-04-17	0.00	0.00	0.88
2004-04-18	0.00	0.00	0.88
2004-04-19	0.00	0.00	0.88
2004-04-20	0.00	0.00	0.88
2004-04-21	0.00	0.00	0.88
2004-04-22	0.00	0.00	0.88
2004-04-23	0.00	0.00	0.88
2004-04-24	0.00	0.00	0.88
2004-04-25	0.00	0.00	0.88
2004-04-26	0.00	0.00	0.88
2004-04-27	0.00	0.00	0.88
2004-04-28	0.00	0.00	0.88
2004-04-29	0.00	0.00	0.88
2004-04-30	0.00	0.00	0.88
2004-05-01	0.00	0.00	0.88
2004-05-02	0.00	0.00	0.88
2004-05-03	0.00	0.00	0.88
2004-05-04	0.00	0.00	0.88
2004-05-05	0.00	0.00	0.88
2004-05-06	0.00	0.00	0.88
2004-05-07	0.00	0.00	0.88
2004-05-08	0.00	0.00	0.88
2004-05-09	0.00	0.00	0.88
2004-05-10	0.00	0.00	0.88
2004-05-11	0.00	0.00	0.88
2004-05-12	0.00	0.00	0.88
2004-05-13	0.00	0.00	0.88
2004-05-14	0.00	0.00	0.88
2004-05-15	0.00	0.00	0.88
2004-05-16	0.00	0.00	0.88
2004-05-17	0.00	0.00	0.88
2004-05-18	0.00	0.00	0.88
2004-05-19	0.00	0.00	0.88
2004-05-20	0.00	0.00	0.88
2004-05-21	0.00	0.00	0.88
2004-05-22	-219.88	0.01	0.88
2004-05-23	-386.33	0.03	0.88
2004-05-24	221.03	0.03	0.88
2004-05-25	725.64	0.01	0.85
2004-05-26	0.00	0.00	0.88
2004-05-27	0.00	0.00	0.88
2004-05-28	0.00	0.00	0.88
2004-05-29	0.00	0.00	0.88
2004-05-30	0.00	0.00	0.88
2004-05-31	0.00	0.00	0.88
2004-06-01	0.00	0.00	0.88
2004-06-02	0.00	0.00	0.88
2004-06-03	0.00	0.00	0.88
2004-06-04	0.00	0.00	0.88
2004-06-05	0.00	0.00	0.88
2004-06-06	0.00	0.00	0.88
2004-06-07	0.00	0.00	0.88
2004-06-08	0.00	0.00	0.88
2004-06-09	0.00	0.00	0.88
2004-06-10	0.00	0.00	0.88
2004-06-11	0.00	0.00	0.88
2004-06-12	0.00	0.00	0.88
2004-06-13	0.00	0.00	0.88
2004-06-14	0.00	0.00	0.88
2004-06-15	0.00	0.00	0.88
2004-06-16	0.00	0.00	0.88
2004-06-17	0.00	0.00	0.88
2004-06-18	0.00	0.00	0.88
2004-06-19	0.00	0.00	0.88
2004-06-20	0.00	0.00	0.88
2004-06-21	0.00	0.00	0.88
2004-06-22	0.00	0.00	0.88
2004-06-23	0.00	0.00	0.88
2004-06-24	0.00	0.00	0.88
2004-06-25	0.00	0.00	0.88
2004-06-26	0.00	0.00	0.88
2004-06-27	0.00	0.00	0.88
2004-06-28	0.00	0.00	0.88
2004-06-29	0.00	0.00	0.88
2004-06-30	0.00	0.00	0.88
2004-07-01	0.00	0.00	0.88
2004-07-02	0.00	0.00	0.88
2004-07-03	0.00	0.00	0.88
2004-07-04	0.00	0.00	0.88
2004-07-05	0.00	0.00	0.88
2004-07-06	0.00	0.00	0.88
2004-07-07	0.00	0.00	0.88
2004-07-08	0.00	0.00	0.88
